overall_qual,gr_liv_area,second_flr_sf,total_bsmt_sf,garage_cars,date,price
5,1040,0,1040,1,2024-04-10,129500
5,1060,0,1040,2,2024-04-10,129900
8,2452,1320,1117,3,2024-04-10,309000
5,955,0,955,1,2024-04-10,127000
6,1158,0,1158,2,2024-04-10,158000
7,1718,833,832,2,2024-04-10,185000
8,2417,1116,1288,2,2024-04-10,260000
5,835,0,458,1,2024-04-10,83000
6,2320,884,1028,1,2024-04-10,259500
5,1053,0,1008,2,2024-04-10,150000
7,1501,0,1490,2,2024-04-10,204000
7,2462,1070,1392,2,2024-04-10,320000
6,2158,0,1202,2,2024-04-10,243000
5,1224,0,1086,2,2024-04-10,153337
4,1121,0,1121,2,2024-04-10,140000
5,1236,0,1070,1,2024-04-10,134450
6,987,504,483,1,2024-04-10,106000
6,1487,689,735,1,2024-04-10,113000
6,1302,0,1302,1,2024-04-10,158000
5,1316,0,926,2,2024-04-10,130000
5,816,0,816,1,2024-04-10,124500
6,1575,0,1575,2,2024-04-10,179200
6,1743,702,702,2,2024-04-10,175000
6,972,0,972,1,2024-04-10,132000
7,2730,1177,1502,2,2024-04-10,301000
6,1638,695,943,2,2024-04-10,192000
7,1626,862,764,2,2024-04-10,154000
7,1922,1427,0,2,2024-04-10,198500
8,2466,886,1580,2,2024-04-10,340000
10,2332,590,1682,3,2024-04-10,426000
7,1310,0,1310,2,2024-04-10,164990
7,2097,1017,1080,3,2024-04-10,228000
7,1389,682,651,1,2024-04-10,135000
5,694,0,440,1,2024-04-10,90350
6,813,0,813,1,2024-04-10,110000
7,1277,0,1277,2,2024-04-10,167000
9,2643,574,2153,3,2024-04-10,380000
5,2414,648,954,2,2024-04-10,160000
7,1768,902,866,2,2024-04-10,226700
7,1368,0,1368,2,2024-04-10,202665
7,2398,1015,1379,3,2024-04-10,315750
7,1680,0,1650,2,2024-04-10,213250
4,1126,0,0,2,2024-04-10,108000
7,1535,0,1517,2,2024-04-10,214000
7,1392,689,689,2,2024-04-10,146000
7,1582,812,770,2,2024-04-10,185900
6,1375,595,780,1,2024-04-10,141000
6,832,0,832,2,2024-04-10,105500
5,1750,661,636,1,2024-04-10,124000
9,1766,0,1766,3,2024-04-10,370878
7,1502,651,776,1,2024-04-10,149000
6,1476,738,738,2,2024-04-10,173500
9,1668,0,1626,3,2024-04-10,285000
5,616,0,616,1,2024-04-10,89000
7,1456,728,728,2,2024-04-10,179540
4,1470,473,941,1,2024-04-10,135000
7,1768,888,880,2,2024-04-10,163000
7,1720,0,1720,2,2024-04-10,260400
5,1301,0,1145,2,2024-04-10,100000
6,1117,0,1029,2,2024-04-10,107000
7,1430,0,1413,2,2024-04-10,187100
9,3140,1174,1926,3,2024-04-10,485000
5,1086,0,1024,2,2024-04-10,159950
4,936,0,936,2,2024-04-10,93000
5,1144,0,1144,2,2024-04-10,139950
5,864,0,864,1,2024-04-10,133500
6,1097,0,1040,2,2024-04-10,152000
5,1131,455,676,1,2024-04-10,66500
5,1712,0,1626,2,2024-04-10,145000
5,2240,1120,0,2,2024-04-10,142953
5,2274,1169,1105,2,2024-04-10,154300
6,1617,0,1604,2,2024-04-10,193000
7,1962,571,1391,3,2024-04-10,239799
5,768,0,768,1,2024-04-10,133900
5,1308,332,728,1,2024-04-10,160000
5,1164,0,1164,1,2024-04-10,125000
3,1077,0,1007,1,2024-04-10,91000
6,1502,602,602,1,2024-04-10,165000
5,882,0,882,2,2024-04-10,112500
6,1306,0,1306,2,2024-04-10,196000
5,1526,0,1216,1,2024-04-10,144500
6,1571,772,799,2,2024-04-10,178000
5,1466,370,796,2,2024-04-10,170000
8,1247,0,1247,2,2024-04-10,197000
5,950,0,950,1,2024-04-10,119500
5,1008,0,1008,1,2024-04-10,134500
7,1530,0,1530,3,2024-04-10,259000
5,952,0,952,2,2024-04-10,139000
5,1265,0,1219,2,2024-04-10,179900
6,2108,872,1127,2,2024-04-10,235000
10,4476,2065,2396,3,2024-04-10,745000
6,1352,689,663,1,2024-04-10,158000
5,1074,0,1056,2,2024-04-10,153500
6,1902,584,0,2,2024-04-10,112000
9,1702,0,1702,3,2024-04-10,367294
7,1689,0,1689,3,2024-04-10,248328
8,1987,0,1986,2,2024-04-10,301500
6,1357,0,1019,1,2024-04-10,177000
8,1970,850,1085,3,2024-04-10,281000
8,2526,1323,1165,3,2024-04-10,290000
4,948,0,948,1,2024-04-10,119000
7,1632,677,935,2,2024-04-10,176500
4,872,0,858,4,2024-04-10,123000
7,1920,698,570,2,2024-04-10,170000
6,1661,0,992,1,2024-04-10,165500
6,1258,560,560,1,2024-04-10,105000
7,1500,0,1356,3,2024-04-10,246578
8,1646,0,1594,2,2024-04-10,275000
4,2290,1044,777,2,2024-04-10,122500
4,968,0,656,1,2024-04-10,64500
7,1422,0,1422,2,2024-04-10,179600
5,1078,0,1078,1,2024-04-10,142125
